sal_code,sal_name,total_population,completed_year12,total_labour_force,total_unemployed,median_weekly_household_income,served_in_adf,total_volunteers
11091,Couradda,29,13,15,0,1333,0,0
11092,Couragago,9,0,4,0,2124,0,0
11093,Couridjah,282,89,149,10,1791,8,28
11094,Coutts Crossing,1053,233,420,35,1157,45,136
11095,Cow Flat,58,23,23,0,2249,0,12
11096,Cowabbie,16,3,9,0,3125,0,3
11097,Cowan,631,313,338,13,2250,16,118
11098,Cowper,88,27,55,0,1300,0,7
11099,Cowra,10145,2737,4356,247,1107,276,1466
11100,Coxs Creek,73,28,23,0,1166,0,8
11101,Coxs Crown,18,3,7,0,450,0,6
11102,Crabbes Creek,343,117,178,13,1420,7,55
11103,Crackenback,213,125,132,0,2374,3,36
11104,Craigie (NSW),29,17,19,0,2250,0,9
11105,Cranebrook,15779,5648,8098,329,2108,341,1179
11106,Crangan Bay,3,3,0,0,1125,0,0
11107,Craven,104,27,46,5,1050,0,18
11108,Craven Plateau,14,6,8,0,1874,0,0
11109,Crawford River,57,23,26,0,1125,0,10
11110,Crawney,48,16,20,0,762,0,8
11111,Creel Bay,4,3,3,0,2499,0,0
11112,Creewah,36,8,12,0,875,0,4
11113,Cremorne (NSW),11263,7947,6665,211,2481,207,1640
11114,Cremorne Point,2270,1660,1291,62,2951,47,428
11115,Crescent Head,1633,643,722,36,1317,39,239
11116,Crestwood,4936,2477,2878,119,1719,202,473
11117,Cringila,2156,703,736,59,1117,17,107
11118,Croki,34,9,15,0,1208,4,6
11119,Cromer (NSW),8030,3937,4080,130,2483,134,967
11120,Cronulla,17899,9799,10282,331,2058,422,2115
11121,Crooble,54,21,32,0,1562,0,11
11122,Croobyar,174,68,86,0,1516,6,35
11123,Crooked Corner,78,19,46,0,1312,0,19
11124,Crookwell,2686,790,1162,48,1196,70,424
11125,Croom,112,32,43,0,1718,0,15
11126,Croppa Creek,104,41,55,0,2416,0,25
11127,Cross Roads (NSW),19,11,9,0,2125,0,5
11128,Crosslands,626,193,272,15,1389,18,57
11129,Croudace Bay,641,222,310,11,2010,20,83
11130,Crowdy Bay,6,4,3,0,1999,0,0
11131,Crowdy Head,78,35,31,0,1875,0,14
11132,Crows Nest (NSW),4974,3621,3311,94,2614,58,598
11133,Crowther,78,25,42,0,1350,7,9
11134,Crowther Island,0,0,0,0,0,0,0
11135,Croydon (NSW),10755,6295,5240,246,2157,101,1280
11136,Croydon Park (NSW),10929,5792,5178,219,1843,88,1025
11137,Crudine,68,19,20,0,900,4,3
11138,Cryon,39,9,13,0,1875,0,4
11139,Crystal Creek (NSW),263,69,110,3,1210,8,27
11140,Cubba,26,7,18,0,4999,0,4
11141,Cudal,586,151,284,4,1312,16,103
11142,Cudgegong,66,21,35,0,1687,0,6
11143,Cudgel,36,10,11,0,1625,0,4
11144,Cudgen,952,383,494,15,1893,25,120
11145,Cudgera Creek,339,119,155,0,1800,3,34
11146,Cudmirrah,284,94,113,3,1093,7,46
11147,Culburra Beach,2946,1008,1226,60,1247,147,427
11148,Culcairn,1483,365,608,21,1173,54,273
11149,Cullen Bullen,166,37,64,12,1042,3,30
11150,Cullenbone,49,18,26,0,3125,0,5
11151,Cullendore,10,7,10,0,1374,0,3
11152,Cullerin,41,18,30,0,2250,0,9
11153,Cullivel,10,3,4,0,1699,0,4
11154,Culmaran Creek,21,5,12,0,1437,0,8
11155,Cumbalum,2211,927,1185,24,2170,43,299
11156,Cumbandry,22,3,9,0,3250,0,0
11157,Cumberland Reach,208,46,108,0,2386,8,4
